origin	debate_id	debate_label	n_nodes	n_edges	max(outdeg)	max(indeg)	avg(x.depth)	max(x.depth)	n_descriptions	avg(size(x.description))	avg(size(x.label))	max(size(x.label))	stdev(size(x.label))
"am-ch"	0	" 東南亞星期天向移工收費"	11	10	1	5	1.4545454545454546	3	0	0.0	38.90909090909091	80	20.46682459715989
"am-ch"	1	" ＩＡＭＦＲＥＥ"	2	1	1	1	0.5	1	0	0.0	7.0	8	1.4142135623730951
"am-ch"	2	" 加強英文 師資最重要"	6	5	1	3	1.3333333333333333	3	0	0.0	14.666666666666668	27	6.713171133426189
"am-ch"	3	" 可開放原住民狩獵"	7	6	1	3	1.2857142857142858	2	0	0.0	23.714285714285715	44	14.138768047632789
"am-ch"	4	" 兩韓會談將為東亞情勢帶來和平"	156	155	1	38	2.2115384615384603	5	0	0.0	150.80128205128204	300	61.11305439675372
"am-ch"	5	" 美國應出兵攻打伊拉克。"	21	20	1	15	1.238095238095238	3	0	0.0	40.61904761904762	213	48.39367333699333
"am-ch"	6	" 女性比男性優越"	53	52	1	20	1.9245283018867925	4	0	0.0	33.45283018867926	203	38.345878345224584
"am-ch"	7	"全球暖化是個騙局(教學用)"	8	7	1	2	2.75	5	0	0.0	27.249999999999996	42	11.37352816223457
"am-ch"	8	" 日本福島與周邊核災地區的食品是有疑慮的"	119	118	1	43	2.1932773109243695	6	0	0.0	153.99159663865547	300	53.65418078049232
"am-ch"	9	" 日本由於安全原因禁用華為設備是合理的"	110	109	1	55	1.7909090909090912	5	0	0.0	144.20909090909095	294	45.407046992698874
"am-ch"	10	"使對智障者的尊重從理想成為現實"	23	22	1	3	5.0	10	0	0.0	20.130434782608692	49	9.33860193851349
"am-ch"	11	" 臺灣應使用核能發電"	15	14	1	5	1.7333333333333334	3	0	0.0	32.333333333333336	115	28.634810649843327
"am-ch"	12	" 未來應全面使用電動車輛"	8	7	1	2	2.75	6	0	0.0	55.0	139	47.25009448214287
"am-ch"	13	"我覺得伊朗女子完成鐵人三項是一件令人佩服的事"	10	9	1	7	1.1	2	0	0.0	24.300000000000004	83	21.42195135836136
"am-ch"	14	" 香港應禁止食用魚翅。"	31	30	1	18	1.3870967741935485	3	0	0.0	44.74193548387097	205	46.87072131009968
"am-ch"	15	" 先工作再留學比畢業後直接留學好"	16	15	1	6	1.625	3	0	0.0	23.750000000000004	42	10.08959860450355
"am-ch"	16	" 限制使用一次性塑膠用具"	16	15	1	7	1.5625	3	0	0.0	25.187500000000004	57	13.799607482340456
"am-ch"	17	" 以核養綠的公投應該同意嗎？"	12	11	1	5	1.4166666666666667	2	0	0.0	69.50000000000001	240	64.35766536248103
"am-ch"	18	" 中興大學百年校慶的天鵝意象是最佳選擇"	90	89	1	53	1.4777777777777774	3	0	0.0	144.94444444444446	279	40.940175897239115
"am-ch"	19	" 中油應興建第三天然氣接收站於觀塘地區"	3	2	1	2	0.6666666666666666	1	0	0.0	86.33333333333334	227	121.85784067237256
"am-en"	729	" Until Peace can be achieved with the Middle East, The United States should support the Middle East."	19	18	1	4	2.3684210526315788	5	0	0.0	57.00000000000001	111	26.909312720898523
"am-en"	730	" Congress has the implied power to establish a bank and federal laws are supreme over state laws"	11	10	1	5	1.4545454545454546	3	0	0.0	84.36363636363637	107	25.04505031846703
"am-en"	731	" Congress has the power to regulate employment conditions"	9	8	1	2	2.0	4	0	0.0	179.55555555555554	290	68.33577231419704
