n,url,label,description
0,"dong-nan-ya-xing-qi-tian-xiang-yi-gong-shou-fei"," 東南亞星期天向移工收費",""
1,"iamfree"," ＩＡＭＦＲＥＥ",""
2,"jia-qiang-ying-wen-shi-zi-zui-zhong-yao"," 加強英文 師資最重要",""
3,"ke-kai-fang-yuan-zhu-min-shou-lie"," 可開放原住民狩獵",""
4,"liang-han-hui-tan-jiang-wei-dong-ya-qing-shi-dai-lai-he-ping"," 兩韓會談將為東亞情勢帶來和平",""
5,"mei-guo-ying-chu-bing-gong-da-yi-la-ke"," 美國應出兵攻打伊拉克。",""
6,"nu-xing-bi-nan-xing-you-yue"," 女性比男性優越",""
7,"quan-qiu-nuan-hua-shi-ge-pian-ju-jiao-xue-yong","全球暖化是個騙局(教學用)",""
8,"ri-ben-fu-dao-yu-zhou-bian-he-zai-di-qu-de-shi-pin-shi-an-quan-wu-yu-de"," 日本福島與周邊核災地區的食品是有疑慮的",""
9,"ri-ben-you-yu-an-quan-yuan-yin-jin-yong-hua-wei-she-bei-shi-he-li-de"," 日本由於安全原因禁用華為設備是合理的",""
10,"shi-dui-zhi-zhang-zhe-de-zun-zhong-cong-li-xiang-cheng-wei-xian-shi","使對智障者的尊重從理想成為現實",""
11,"tai-wan-ying-shi-yong-he-neng-fa-dian"," 臺灣應使用核能發電",""
12,"wei-lai-ying-quan-mian-shi-yong-dian-dong-che-liang"," 未來應全面使用電動車輛",""
13,"wo-jue-de-yi-lang-nu-zi-wan-cheng-tie-ren-san-xiang-shi-yi-jian-ling-ren-pei-fu-de-shi-02f4ccc2f8584511a0a6cd3fb1cdc93d","我覺得伊朗女子完成鐵人三項是一件令人佩服的事",""
14,"xiang-gang-ying-jin-zhi-shi-yong-yu-chi-dc3de7ff899c471b946da487be0a535c"," 香港應禁止食用魚翅。",""
15,"xian-gong-zuo-zai-liu-xue-bi-bi-ye-hou-zhi-jie-liu-xue-hao"," 先工作再留學比畢業後直接留學好",""
16,"xian-zhi-shi-yong-yi-ci-xing-su-jiao-yong-ju"," 限制使用一次性塑膠用具",""
17,"yi-he-yang-lu-de-gong-tou-ying-gai-bei-zhi-chi"," 以核養綠的公投應該同意嗎？",""
18,"zhong-xing-da-xue-bai-nian-xiao-qing-de-tian-e-yi-xiang-shi-zui-jia-xuan-ze"," 中興大學百年校慶的天鵝意象是最佳選擇",""
19,"zhong-you-ying-xing-jian-di-san-tian-ran-qi-jie-shou-zhan-yu-guan-tang-di-qu"," 中油應興建第三天然氣接收站於觀塘地區",""
20,"dong-nan-ya-xing-qi-tian-xiang-yi-gong-shou-fei?partial=28961&level=0","移工們來參加活動也要付出相同的活動參加費才合理",""
21,"dong-nan-ya-xing-qi-tian-xiang-yi-gong-shou-fei?partial=28962&level=0","不能收費。他們來參加活動已經付出他們的故事，他們不是活動參加者，而是活動規劃中的一份子！",""
22,"dong-nan-ya-xing-qi-tian-xiang-yi-gong-shou-fei?partial=28963&level=0","不能收費。他們來參加活動已經把自己的故事拿出來讓我們消費了，沒有理由還要被剝第二層皮：繳交活動參加費用",""
23,"dong-nan-ya-xing-qi-tian-xiang-yi-gong-shou-fei?partial=28964&level=0","參加活動的台灣人和移工都同樣能夠負擔活動參加費用，本來就應該要收費",""
24,"dong-nan-ya-xing-qi-tian-xiang-yi-gong-shou-fei?partial=28965&level=0","收費或不收費從不同角度來看都可能是平等或不平等的",""
25,"iamfree?partial=32071&level=0","我是蓝鲸。🐋",""
26,"jia-qiang-ying-wen-shi-zi-zui-zhong-yao?partial=31214&level=0","因為學校教育比較重要",""
27,"jia-qiang-ying-wen-shi-zi-zui-zhong-yao?partial=31215&level=0","爸媽英文可能不是太好。",""
28,"jia-qiang-ying-wen-shi-zi-zui-zhong-yao?partial=32982&level=0","不能只有師資問題，學習環境更是重要。",""
29,"ke-kai-fang-yuan-zhu-min-shou-lie?partial=32075&level=0","野生動物保育法實施後，野生動物數量增加",""
30,"ke-kai-fang-yuan-zhu-min-shou-lie?partial=32076&level=0","狩獵是原住民傳統祭典必要的一部分",""
31,"ke-kai-fang-yuan-zhu-min-shou-lie?partial=32078&level=0","狩獵相關法案無法落實，因法條規範要先登記狩獵哪些物種，造成大多數人不會實際申請而直接打獵",""
32,"liang-han-hui-tan-jiang-wei-dong-ya-qing-shi-dai-lai-he-ping?partial=30351&level=0","兩韓會談可以促進北韓無核化進程，並且可以促進北韓改革開放，融入國際主流社會，0106204218",""
33,"liang-han-hui-tan-jiang-wei-dong-ya-qing-shi-dai-lai-he-ping?partial=30352&level=0","東亞情勢受東亞，甚至是全國任一國家的影響；雖兩韓會談勢必對東亞情勢有所影響，但是否會帶來和平不該只考慮兩韓間的關係。4105037058",""
34,"liang-han-hui-tan-jiang-wei-dong-ya-qing-shi-dai-lai-he-ping?partial=30353&level=0","東亞和平不只是兩韓問題，而是要看背後兩大勢力角力，美國和中國的態度更是影響整個東亞局勢，目前美國動作頻頻，中國不會默默豪無作為。4104064116",""
35,"liang-han-hui-tan-jiang-wei-dong-ya-qing-shi-dai-lai-he-ping?partial=30354&level=0","未來的川金會也是決定東亞和平的一大重要會談，川普針對北韓核武發展態度強硬，若北韓不執行全面非核化，美國將不給予北韓經濟援助。因此即使兩韓結束戰爭，但其他國家對於北韓的影響力也不容小覷，東亞和平不只是取決於兩韓，更關係到其他跟北韓有著利害關係的國家。4106023026",""
36,"liang-han-hui-tan-jiang-wei-dong-ya-qing-shi-dai-lai-he-ping?partial=30359&level=0","兩韓問題歷來是東亞和平焦點。雙方在會談中明確了實現北韓無核化的共同目標，北韓無核化是發展兩韓關係、建立兩韓永久和平機制的前提條件和重要基礎。從宣佈中止核導試驗到明確無核化目標，北韓無核化進程取得積極進展，有利於東亞和平穩定。0106204227",""
37,"liang-han-hui-tan-jiang-wei-dong-ya-qing-shi-dai-lai-he-ping?partial=30362&level=0","兩韓會議的和平，可以維持多久呢?美國與北韓之間的尷尬與勢力的對峙，假如兩國發生爭執，南韓的立場一定格外受重視，而中國也不會袖手旁觀，目前表面上的和平，可能可以延續下去，也有可能是暴風雨前的寧靜。4104043041",""
38,"liang-han-hui-tan-jiang-wei-dong-ya-qing-shi-dai-lai-he-ping?partial=30363&level=0","兩韓會談並不能完全保證東亞和平，東亞地區的和平還涉及到美國與中國之間的利益拉鋸，不單是衝突國之間的問題。金正恩會同意無核化可能是想緩解國際制裁，畢竟他還想繼續統治北韓好幾十年。4106038131",""
39,"liang-han-hui-tan-jiang-wei-dong-ya-qing-shi-dai-lai-he-ping?partial=30364&level=0","兩韓會談對東亞也有可能產生負面影響，朝鮮半島情勢緩解，美國對中國大陸處理北韓問題依賴度下降，兩者的貿易戰也未停止，假如5月份的川金會談成功，美與北韓建交，大陸會不會對北韓採取甚麼制裁措施?期盼經濟發展的北韓能接受被制裁的風險嗎?雖然兩韓會談可能可帶來東亞的和平，但美國與中國的影響力實在太大了，我認為東亞各國的經濟發展還是受制於這兩大國。4106023003",""
40,"liang-han-hui-tan-jiang-wei-dong-ya-qing-shi-dai-lai-he-ping?partial=30365&level=0","這只是一個開始而已，兩韓分裂的歷史是兩勢力對抗的產物，要和平共存，勢必要面對兩韓之間政經文化的差異4105021048",""
41,"liang-han-hui-tan-jiang-wei-dong-ya-qing-shi-dai-lai-he-ping?partial=30372&level=0","南北韓同意將無核化作為共同的目標且北韓為了緩解國際制裁，近期應當是不會打破諾言，少了核武北韓對東亞附近國家的威脅將會降低4105038119",""
42,"liang-han-hui-tan-jiang-wei-dong-ya-qing-shi-dai-lai-he-ping?partial=30374&level=0","兩國背後所代表的中國及美國的角力還在持續下去。雖然兩韓有意正式結束自1950年代開始的韓戰，停止所有的廣播、傳單攻勢⋯等。北韓也將原本獨步全球的金正恩時區改為和南韓時區一致，表達朝鮮半島兩韓朝向和平發展的決心；但仍舊存在的問題還有在南韓駐紮的美軍並沒有因此撤退，以及北韓做出的承諾（停止核子試驗、降低軍事投入）究竟會不會實現、實現的方式還是有待觀察。後續發展的方向將會在不久後川普和金正恩的會談和秋天兩韓第二次會談中更加明朗。4105029013",""
43,"liang-han-hui-tan-jiang-wei-dong-ya-qing-shi-dai-lai-he-ping?partial=30375&level=0","前幾個月前，北韓才用核武威脅美國，現在卻願意放棄核武與南韓和好，再來又要跟美國會面，這180度的轉變，背後真正的原因是什麼，如果北韓與美國和好，那對之前資助它的俄羅斯及中國又會如何回應，看似和平的兩韓會談，背後牽動著許多國際的政治問題4105037025",""
