n,url,label,description
0,"a-bd44d5f412d543d1a4d4a43165e9fd86"," Until Peace can be achieved with the Middle East, The United States should support the Middle East.",""
1,"congress-has-the-implied-power-to-establish-a-bank-and-federal-laws-are-supreme-over-state-laws-83b4b1383e1a45848293a5cd7065dfd7"," Congress has the implied power to establish a bank and federal laws are supreme over state laws",""
2,"congress-has-the-power-to-regulate-employment-conditions"," Congress has the power to regulate employment conditions",""
3,"congress-passing-the-gun-free-school-zones-act-of-1900-did-not-count-as-a-commercial-activity"," Congress passing the Gun-Free School Zones Act of 1990 did not count as a legislative activity that falls under the Commerce Clause",""
4,"consideration-of-race-violated-the-equal-protection-clause-of-the-14th-amendment"," Consideration of race violated the Equal Protection Clause of the 14th Amendment. ",""
5,"denial-of-unemployment-benefits-violates-the-first-amendment"," Denial of Unemployment Benefits violates the First Amendment ",""
6,"did-schencks-conviction-under-the-espionage-act-violate-his-first-amendment-right-of-freedom-of-speech"," Schenck's conviction under the Espionage Act did not violate his First Amendment right of freedom of speech",""
7,"donald-trump-would-make-a-great-president-3c474fbd44a8455f9b07f190b7a0bf26","Donald Trump would make a great president",""
8,"louisiana-law-does-not-infringe-upon-the-14th-amendment"," Louisiana law does not infringe upon the 14th Amendment",""
9,"madisons-refusal-to-deliver-is-illegal-and-marburys-jump-straight-to-the-supreme-court-is-unconstitutional"," Madisons refusal to deliver is illegal and Marbury's jump straight to the Supreme Court is unconstitutional",""
10,"new-jersey-was-not-in-violation-of-the-establishment-clause","New Jersey was not in violation of the Establishment Clause",""
11,"protest-and-hate-speech-is-shielded-by-the-first-amendment-snyder-v-phelps"," Protest and hate speech is shielded by The First Amendment (Snyder v. Phelps)",""
12,"remarks-about-the-us-southern-border"," The U.S Southern will be build",""
13,"separate-educational-facilities-for-different-races-are-inherently-unequal","Separate educational facilities for different races are inherently unequal.",""
14,"sherberts-ability-to-freely-practice-her-faith-was-hindered-by-the-states-restrictions-for-unemployment-compensation"," Sherbert’s Ability to Freely Practice Her Faith Was Hindered by the State’s Restrictions For Unemployment Compensation.",""
15,"slaves-should-be-freed"," Slaves should be freed",""
16,"states-cannot-impose-qualifications-for-prospective-members-of-congress-more-strict-than-the-qualifications-listed-in-the-constitution"," The President of the United States has no immunity for civil law litigation for actions done before taking office or unrelated to taking office. Vote (9-0)",""
17,"the-denial-of-unemployment-compensation-infringe-on-the-sherberts-first-amendment-right-to-freely-exercise-her-religion"," The denial of unemployment compensation infringed upon the Sherbert's First Amendment right to freely exercise her religion. ",""
18,"there-are-ghosts-in-this-world"," There are ghosts in this world.",""
