n,url,label,description
0,"eutanazja-jest-wyrazem-szacunku-dla-autonomii-cierpiacej-osoby-pomaga-jej-uczynic-to-czego-rzeczywiscie-pragnie"," Należy zalegalizować eutanazję.",""
1,"eutanazja-jest-wyrazem-szacunku-dla-autonomii-cierpiacej-osoby-pomaga-jej-uczynic-to-czego-rzeczywiscie-pragnie?partial=33756&level=0","Eutanazja jest wyrazem szacunku dla autonomii cierpiącej osoby.",""
2,"eutanazja-jest-wyrazem-szacunku-dla-autonomii-cierpiacej-osoby-pomaga-jej-uczynic-to-czego-rzeczywiscie-pragnie?partial=33766&level=0","Eutanazja jest wyrazem humanitaryzmu.",""
3,"eutanazja-jest-wyrazem-szacunku-dla-autonomii-cierpiacej-osoby-pomaga-jej-uczynic-to-czego-rzeczywiscie-pragnie?partial=33770&level=0","Argumenty „za” uzasadniają eutanazję tylko w nielicznych przypadkach.",""
4,"eutanazja-jest-wyrazem-szacunku-dla-autonomii-cierpiacej-osoby-pomaga-jej-uczynic-to-czego-rzeczywiscie-pragnie?partial=33772&level=0","Legalizacja eutanazji zrodziłaby pękniecie w tym etosie lekarskim.",""
5,"eutanazja-jest-wyrazem-szacunku-dla-autonomii-cierpiacej-osoby-pomaga-jej-uczynic-to-czego-rzeczywiscie-pragnie?partial=33757&level=0","Pacjent jest w stanie racjonalnie rozważyć wszystkie racje przemawiające „za” i „przeciw” decyzji o eutanazji.",""
6,"eutanazja-jest-wyrazem-szacunku-dla-autonomii-cierpiacej-osoby-pomaga-jej-uczynic-to-czego-rzeczywiscie-pragnie?partial=33758&level=0","Cierpiący pacjent potrafi podjąć w pełni autonomiczną decyzję, tj. posiada odpowiednią wiedzę na temat swojego stanu zdrowia – czyli wie, że choroba powodująca jego cierpienie jest nie tylko nieuleczalna i śmiertelna, ale chwila jego śmierci jest nieodległa.",""
7,"eutanazja-jest-wyrazem-szacunku-dla-autonomii-cierpiacej-osoby-pomaga-jej-uczynic-to-czego-rzeczywiscie-pragnie?partial=33767&level=0","Eutanazja przyczynia się do zwiększenia dobrostanu jednostki oraz realizacji postulatu minimalizacji cierpienia w świecie.",""
8,"eutanazja-jest-wyrazem-szacunku-dla-autonomii-cierpiacej-osoby-pomaga-jej-uczynic-to-czego-rzeczywiscie-pragnie?partial=33768&level=0","Popierając argument, nie bierze się pod uwagę możliwości uśmierzenia bólu pacjenta.",""
9,"eutanazja-jest-wyrazem-szacunku-dla-autonomii-cierpiacej-osoby-pomaga-jej-uczynic-to-czego-rzeczywiscie-pragnie?partial=33769&level=0","Lekarze mogliby dokonywać eutanazji wbrew woli pacjenta, powołując się na względy humanitarne.",""
10,"eutanazja-jest-wyrazem-szacunku-dla-autonomii-cierpiacej-osoby-pomaga-jej-uczynic-to-czego-rzeczywiscie-pragnie?partial=33771&level=0","Eutanazja jest uzasadniona, gdy decyzja pacjenta jest autonomiczna, a jego cierpienie jest niewyobrażalne i nie daje się uśmierzyć.",""
11,"eutanazja-jest-wyrazem-szacunku-dla-autonomii-cierpiacej-osoby-pomaga-jej-uczynic-to-czego-rzeczywiscie-pragnie?partial=33773&level=0","Lekarz miałby prawo doprowadzić do śmierci pacjenta.",""
12,"eutanazja-jest-wyrazem-szacunku-dla-autonomii-cierpiacej-osoby-pomaga-jej-uczynic-to-czego-rzeczywiscie-pragnie?partial=33774&level=0","Jeśli powstanie wśród lekarzy klimat przyzwolenia na eutanazję, to wśród pacjentów, a także ich rodzin, będzie rodzić się podejrzenie, czy lekarz rzeczywiście robi wszystko, co możliwe, aby uratować życie pacjenta.",""
13,"eutanazja-jest-wyrazem-szacunku-dla-autonomii-cierpiacej-osoby-pomaga-jej-uczynic-to-czego-rzeczywiscie-pragnie?partial=33759&level=0","Pacjent nie może wiedzieć na pewno, ile miesięcy czy lat może przeżyć ze swoją chorobą.",""
14,"eutanazja-jest-wyrazem-szacunku-dla-autonomii-cierpiacej-osoby-pomaga-jej-uczynic-to-czego-rzeczywiscie-pragnie?partial=33763&level=0","Zachodzi wątpliwość, czy pacjent jest w stanie podejmować racjonalne decyzje.",""
15,"eutanazja-jest-wyrazem-szacunku-dla-autonomii-cierpiacej-osoby-pomaga-jej-uczynic-to-czego-rzeczywiscie-pragnie?partial=33760&level=0","Nie wie tego nawet lekarz.",""
16,"eutanazja-jest-wyrazem-szacunku-dla-autonomii-cierpiacej-osoby-pomaga-jej-uczynic-to-czego-rzeczywiscie-pragnie?partial=33764&level=0","Pacjent przeżywa cierpienia fizyczne o ogromnej intensywności.",""
17,"eutanazja-jest-wyrazem-szacunku-dla-autonomii-cierpiacej-osoby-pomaga-jej-uczynic-to-czego-rzeczywiscie-pragnie?partial=33761&level=0","Liczba błędnych prognoz medycznych dotyczących przeżycia pacjentów jest tak duża, że byłoby naiwnością wierzyć, że medycyna na obecnym etapie jej rozwoju w ogóle uzasadnia formułowanie tego rodzaju przepowiedni.",""
18,"eutanazja-jest-wyrazem-szacunku-dla-autonomii-cierpiacej-osoby-pomaga-jej-uczynic-to-czego-rzeczywiscie-pragnie?partial=33762&level=0","Ryszard Fenigsen w swojej pracy „Przysięga Hipokratesa” twierdzi, że co najmniej 20%, a prawdopodobnie ok. 40% rozpoznań jest błędnych.",""
