n1,n2,weight
86,25,-1.0
47,10,1.0
49,10,-1.0
48,10,-0.5
55,13,1.0
57,13,1.0
56,13,1.0
53,13,1.0
54,13,-1.0
98,64,-0.5
99,64,-1.0
35,7,-1.0
36,7,-1.0
37,7,-1.0
38,7,-1.0
39,7,-1.0
40,7,1.0
102,67,-1.0
107,74,-0.5
30,4,-1.0
31,4,-0.5
32,4,1.0
29,4,1.0
68,16,1.0
69,16,-1.0
90,44,1.0
105,72,-0.5
58,14,1.0
59,14,-0.5
60,14,-1.0
63,14,-0.5
61,14,-1.0
62,14,-1.0
23,0,-1.0
24,0,-1.0
21,0,-0.5
20,0,1.0
22,0,-1.0
112,91,-0.5
113,91,-1.0
108,78,1.0
25,1,1.0
26,1,-1.0
34,6,-1.0
27,2,1.0
93,48,-0.5
94,50,-1.0
64,15,1.0
66,15,1.0
67,15,-1.0
65,15,1.0
110,84,1.0
28,3,1.0
78,19,1.0
79,19,-1.0
80,19,-1.0
84,23,1.0
81,20,1.0
82,20,-1.0
83,20,-0.5
51,12,1.0
52,12,-1.0
97,61,-1.0
117,116,1.0
118,116,-0.5
114,98,-0.5
41,8,1.0
95,54,-0.5
116,106,-1.0
76,18,-0.5
73,18,1.0
74,18,1.0
75,18,-0.5
77,18,1.0
92,47,1.0
85,24,1.0
50,11,1.0
33,5,1.0
44,9,-0.5
43,9,1.0
45,9,-0.5
46,9,-0.5
42,9,1.0
87,29,-1.0
104,70,1.0
100,65,-1.0
101,65,-0.5
111,85,1.0
103,71,-1.0
70,17,-1.0
71,17,-1.0
72,17,-1.0
115,103,-1.0
88,33,-0.5
109,79,-0.5
106,75,-0.5
91,42,-1.0
89,35,-1.0
96,55,1.0
