n,url,label,description
0,"allahin-insani-ilk-yarattigi-andan-itibaren-o-kisinin-ahiret-gununde-cennetcehenneme-gidecegini-bilir-olmasi-mantiksizdir"," Allah'ın, insanı ilk yarattığı andan itibaren, o kişinin ahiret gününde cennet/cehenneme gideceğini bilir olması mantıksızdır.",""
1,"arac-kullanirken-sigara-icmek-cezalandirilmalidir"," Araç kullanırken sigara içmek cezalandırılmalıdır.",""
2,"argumanda-safsata-tipleri-ve-aciklamalari-cesitlendirilmelidir"," Argüman'da, safsata tipleri ve açıklamaları çeşitlendirilmelidir",""
3,"bilinc-zeka-icin-gereksiz-bir-yetidir"," Bilinç, zeka için gereksiz bir yetidir",""
4,"bir-fikir-iscisinin-dusmani-hemfikirleridir"," Bir fikir işçisinin gerçek düşmanı hemfikirleridir",""
5,"depresyon-icedonuk-safsatalarin-sonucudur"," Depresyon içedönük safsataların sonucudur.",""
6,"devlet-sisteme-giren-paranin-kaynagini-sorgulamamalidir"," Devlet, sisteme giren paranın kaynağını sorgulamamalıdır.",""
7,"fotograf-makinelerinin-kaydedebildigi-gerceklikte-realist-cizimler-yapmak-korkunc-bir-emek-israfidir","Fotoğraf makinelerinin kaydedebildiği gerçeklikte, realist çizimler yapmak korkunç bir emek israfıdır.",""
8,"gelecegin-yeni-dini-dataizm-olacaktir"," Geleceğin yeni dini Dataizm olacaktır",""
9,"havyanlarin-hayati-da-insanlarinki-kadar-degerlidir"," Havyanların hayatı da insanlarınki kadar değerlidir",""
10,"hicbir-bilgisayar-programi-kendi-basina-bir-sisteme-zihin-veremez","Hiçbir bilgisayar programı kendi başına bir sisteme zihin veremez.",""
11,"humanizm-onumuzdeki-200-yil-icinde-yok-olacaktir"," Hümanizm önümüzdeki 200 yıl içinde yok olacaktır.",""
12,"istanbul-surici-arac-girisine-kapatilmalidir"," İstanbul suriçi araç trafiğine kapatılmalıdır",""
13,"kanal-istanbul-projesinden-vazgecilmelidir","Kanal İstanbul projesinden vazgeçilmelidir",""
14,"sanat-elestirilemez"," Sanat Eleştirilemez",""
15,"tanrinin-varligini-kanitlamak-telasi-gereksizdir"," tanrının varlığını kanıtlamak telaşı gereksizdir.",""
16,"tanri-soyledigi-icin-kotudur"," Tanrı söylediği için kötüdür",""
17,"vicdan-gucluleri-korkutmak-icin-dusunulmus-korkaklarin-kullandigi-bir-sozcukten-baska-bir-sey-degildir"," Vicdan güçlüleri korkutmak için düşünülmüş, korkakların kullandığı bir sözcükten başka bir şey değildir.",""
18,"yalan-soyleme-olmadan-bilim-olmaz"," Yalan söyleme olmadan bilim olmaz",""
19,"yapay-zeka-insanin-varolus-anlamini-tehdit-etmektedir"," Yapay zeka insanın varoluş anlamını tehdit etmektedir",""
