n1,n2,weight
11017,6870,1.0
9460,5791,1.0
9461,5791,-1.0
9462,5791,-1.0
9463,5791,-1.0
6854,2944,1.0
16300,16297,-1.0
25844,24290,-1.0
25845,24290,-1.0
25846,24290,-1.0
34371,34098,1.0
34237,34098,1.0
34365,34098,1.0
34413,34098,1.0
26170,24469,1.0
10454,6473,1.0
10455,6473,1.0
11776,7994,1.0
11777,7994,1.0
11778,7994,-1.0
17341,19927,1.0
6208,2660,1.0
6209,2660,-1.0
6210,2660,-1.0
29244,28257,-1.0
18078,17199,1.0
18079,17199,1.0
18080,17199,1.0
18081,17199,1.0
18082,17199,1.0
18083,17199,1.0
18084,17199,1.0
18085,17199,-1.0
18086,17199,-1.0
18087,17199,-1.0
18088,17199,-1.0
18089,17199,-1.0
18090,17199,-1.0
34013,16584,-1.0
10023,6109,1.0
13375,9723,1.0
13376,9723,1.0
8584,14852,-1.0
28458,27296,-1.0
31868,31573,-1.0
31935,31573,-1.0
23528,21939,-1.0
28455,27285,-1.0
31307,30594,1.0
31308,30594,-1.0
31309,30594,-1.0
31310,30594,-1.0
31311,30594,-1.0
28222,26998,-1.0
30838,30045,1.0
32513,32352,1.0
17779,17088,-1.0
26373,24706,-1.0
4003,1536,1.0
9951,6060,-1.0
16436,14793,-1.0
30093,29298,-1.0
8839,5205,-1.0
31529,30688,-1.0
10131,6207,-1.0
10132,6207,-1.0
4199,1716,1.0
30401,29714,1.0
30402,29714,-1.0
30403,29714,-1.0
33003,32824,1.0
33136,32824,1.0
26187,24501,-1.0
31459,30663,1.0
16793,15412,1.0
7595,3696,1.0
3756,3696,1.0
7596,3696,-1.0
7597,3696,-1.0
7598,3696,-1.0
29222,28181,-1.0
27411,25954,1.0
17924,17169,1.0
17925,17169,-1.0
17926,17169,-1.0
10297,6375,-1.0
169,205,1.0
1259,205,1.0
1260,205,-1.0
1261,205,-1.0
23558,21964,-1.0
16734,15342,1.0
6046,2594,-1.0
6047,2594,-1.0
20598,19043,-1.0
12869,9200,1.0
12870,9200,-1.0
