n1,n2,weight
1716,1536,-1.0
1772,1536,-1.0
1773,1536,-1.0
1414,726,-1.0
688,251,1.0
689,251,1.0
690,251,1.0
1774,251,-1.0
691,251,-1.0
692,251,-1.0
1775,683,-1.0
1776,683,-1.0
1777,25,1.0
1778,25,1.0
1779,886,-1.0
1533,852,1.0
1534,852,1.0
1535,852,1.0
1536,852,1.0
1537,852,1.0
1538,852,-1.0
831,852,-1.0
1327,571,-1.0
894,892,-1.0
1404,698,-1.0
1405,698,-1.0
1460,790,-1.0
1461,790,-1.0
1780,790,-1.0
1462,790,-1.0
1436,787,1.0
60,10,1.0
61,10,1.0
62,10,1.0
63,10,1.0
64,10,1.0
65,10,1.0
66,10,1.0
67,10,-1.0
68,10,-1.0
69,10,-1.0
70,10,-1.0
1781,146,1.0
1782,146,1.0
1783,146,-1.0
510,528,-1.0
1784,870,-1.0
1785,870,-1.0
1786,870,-1.0
1787,870,-1.0
1788,870,-1.0
1554,870,-1.0
1789,735,-1.0
1416,735,-1.0
566,179,1.0
567,179,1.0
568,179,1.0
250,32,1.0
251,32,1.0
1790,32,1.0
1791,32,1.0
252,32,-1.0
253,32,-1.0
1792,32,-1.0
254,32,-1.0
1739,1620,-1.0
1740,1620,-1.0
387,113,-1.0
388,113,-1.0
389,113,-1.0
1322,558,-1.0
1323,558,-1.0
342,348,-1.0
1793,348,-1.0
900,348,-1.0
1794,159,1.0
507,159,1.0
1795,159,1.0
508,159,1.0
509,159,1.0
510,159,1.0
511,159,-1.0
512,159,-1.0
473,159,-1.0
513,159,-1.0
514,159,-1.0
515,159,-1.0
653,242,-1.0
1549,869,1.0
1550,869,1.0
1551,869,1.0
1552,869,1.0
1553,869,1.0
1796,869,1.0
814,292,1.0
1797,292,1.0
799,292,1.0
815,292,1.0
816,292,1.0
817,292,1.0
90,13,1.0
91,13,1.0
92,13,1.0
93,13,1.0
94,13,1.0
95,13,1.0
96,13,-1.0
97,13,-1.0
98,13,-1.0
99,13,-1.0
100,13,-1.0
101,13,-1.0
1748,1698,1.0
1749,1698,1.0
1162,1040,-1.0
1163,1040,-1.0
1164,1040,-1.0
1652,988,-1.0
1798,1082,-1.0
1799,1082,-1.0
1208,1073,-1.0
1254,466,1.0
1255,466,1.0
1256,466,1.0
1257,466,-1.0
901,349,-1.0
902,349,-1.0
412,396,-1.0
263,34,1.0
264,34,1.0
265,34,1.0
266,34,-1.0
267,34,-1.0
268,34,-1.0
269,34,-1.0
1754,1709,-1.0
1755,1709,-1.0
896,330,1.0
1800,330,1.0
1801,338,1.0
1802,338,1.0
1803,338,1.0
1804,338,1.0
1805,338,1.0
1281,507,-1.0
1282,507,-1.0
1283,507,-1.0
971,64,1.0
972,64,1.0
973,64,1.0
974,64,1.0
975,64,1.0
976,64,1.0
977,64,1.0
978,64,1.0
979,64,-1.0
980,64,-1.0
796,794,-1.0
1479,794,-1.0
799,794,-1.0
1154,1036,-1.0
1155,1036,-1.0
1216,403,-1.0
71,1046,1.0
72,1046,1.0
73,1046,1.0
75,1046,1.0
74,1046,1.0
1806,1046,-1.0
704,261,-1.0
705,261,-1.0
706,261,-1.0
707,261,-1.0
708,261,-1.0
709,261,-1.0
710,261,-1.0
342,7,1.0
1807,7,1.0
343,7,1.0
1808,7,1.0
344,7,1.0
1809,7,1.0
345,7,1.0
346,7,-1.0
347,7,-1.0
348,7,-1.0
1810,7,-1.0
1636,974,-1.0
1178,1048,-1.0
1179,1048,-1.0
1180,1048,-1.0
1114,1014,-1.0
1115,1014,-1.0
1116,1014,-1.0
1117,1014,-1.0
1113,1013,-1.0
1433,752,-1.0
634,229,-1.0
635,229,-1.0
650,240,-1.0
651,240,-1.0
1347,656,-1.0
661,656,-1.0
1348,656,-1.0
1811,656,-1.0
1349,656,-1.0
1564,917,-1.0
1565,917,-1.0
0,None,0.0
1,None,0.0
2,None,0.0
3,None,0.0
4,None,0.0
5,None,0.0
6,None,0.0
7,None,0.0
8,None,0.0
9,None,0.0
10,None,0.0
11,None,0.0
12,None,0.0
13,None,0.0
14,None,0.0
15,None,0.0
16,None,0.0
17,None,0.0
6,None,0.0
18,None,0.0
19,None,0.0
20,None,0.0
21,None,0.0
22,None,0.0
23,None,0.0
24,None,0.0
25,None,0.0
2,None,0.0
26,None,0.0
27,None,0.0
28,None,0.0
16,None,0.0
29,None,0.0
30,None,0.0
31,None,0.0
19,None,0.0
2,None,0.0
29,None,0.0
16,None,0.0
32,None,0.0
3,None,0.0
4,None,0.0
33,None,0.0
34,None,0.0
27,None,0.0
0,None,0.0
35,None,0.0
24,None,0.0
36,None,0.0
7,None,0.0
15,None,0.0
37,None,0.0
21,None,0.0
38,None,0.0
11,None,0.0
39,None,0.0
8,None,0.0
40,None,0.0
14,None,0.0
28,None,0.0
41,None,0.0
42,None,0.0
1,None,0.0
43,None,0.0
26,None,0.0
44,None,0.0
22,None,0.0
10,None,0.0
45,None,0.0
6,None,0.0
18,None,0.0
17,None,0.0
46,None,0.0
13,None,0.0
12,None,0.0
23,None,0.0
47,None,0.0
1812,305,1.0
1813,305,1.0
1814,305,1.0
1815,305,1.0
1816,305,1.0
1817,305,1.0
1818,305,1.0
1819,305,1.0
1820,305,1.0
1821,305,1.0
1822,305,1.0
1823,305,1.0
1824,305,-1.0
1825,305,-1.0
1826,305,-1.0
1827,610,-1.0
176,22,1.0
177,22,1.0
178,22,1.0
179,22,1.0
180,22,1.0
181,22,1.0
182,22,-1.0
183,22,-1.0
184,22,-1.0
185,22,-1.0
186,22,-1.0
187,22,-1.0
1492,818,-1.0
1493,818,-1.0
1494,818,-1.0
1495,818,-1.0
1828,518,-1.0
1292,518,-1.0
1829,1024,-1.0
616,224,1.0
617,224,1.0
618,224,1.0
619,224,1.0
620,224,1.0
621,224,-1.0
622,224,-1.0
623,224,-1.0
865,304,1.0
1830,304,1.0
866,304,1.0
867,304,1.0
868,304,1.0
1831,304,-1.0
1832,304,-1.0
1833,304,-1.0
1834,304,-1.0
1835,304,-1.0
1836,304,-1.0
1837,304,-1.0
1838,676,-1.0
1058,83,-1.0
86,83,-1.0
1839,680,-1.0
1840,680,-1.0
1841,680,-1.0
997,68,1.0
1842,68,1.0
998,68,1.0
1524,844,-1.0
1488,813,-1.0
1228,425,-1.0
1229,425,-1.0
1230,425,-1.0
1231,425,-1.0
1232,425,-1.0
1843,168,1.0
544,168,1.0
545,168,1.0
1844,282,1.0
1845,282,1.0
776,282,-1.0
1846,282,-1.0
777,282,-1.0
778,282,-1.0
779,282,-1.0
1146,1032,-1.0
1147,1032,-1.0
1148,1032,-1.0
400,402,-1.0
1486,812,-1.0
808,812,-1.0
1487,812,-1.0
1248,445,-1.0
408,404,-1.0
1125,1017,-1.0
1126,1017,-1.0
1127,1017,-1.0
1128,1017,-1.0
1250,447,-1.0
1088,1000,-1.0
1089,1000,-1.0
1090,1000,-1.0
1091,1000,-1.0
1092,1000,-1.0
743,263,1.0
1847,263,1.0
1848,263,1.0
744,263,1.0
1415,730,-1.0
1065,90,1.0
1849,90,1.0
1066,90,1.0
1850,90,-1.0
1851,882,-1.0
1852,882,-1.0
1853,882,-1.0
491,156,1.0
492,156,1.0
493,156,1.0
494,156,1.0
495,156,1.0
496,156,1.0
497,156,-1.0
1244,442,-1.0
1245,442,-1.0
1246,442,-1.0
1854,325,-1.0
885,325,-1.0
1855,872,-1.0
1856,872,-1.0
1555,872,-1.0
1857,1431,-1.0
1133,1019,-1.0
1334,600,-1.0
1858,347,-1.0
1859,347,-1.0
1860,347,-1.0
1861,347,-1.0
1510,836,-1.0
1548,868,1.0
1862,868,1.0
1863,868,1.0
1864,868,1.0
1865,868,1.0
1616,964,1.0
1617,964,-1.0
1866,1555,1.0
883,1555,1.0
874,1555,-1.0
875,1555,-1.0
876,1555,-1.0
884,1555,-1.0
1539,854,-1.0
1540,854,-1.0
1867,486,-1.0
1272,486,-1.0
1718,1572,1.0
1719,1572,1.0
1213,398,-1.0
1214,398,-1.0
1215,398,-1.0
1395,688,-1.0
1530,849,-1.0
1531,849,-1.0
1868,1434,-1.0
1869,744,-1.0
1870,744,-1.0
1871,526,-1.0
1872,526,-1.0
1873,526,-1.0
1298,526,-1.0
1744,1695,1.0
1745,1695,1.0
1746,1695,1.0
1747,1695,-1.0
1770,1761,1.0
1771,1761,1.0
1772,1761,1.0
1874,891,-1.0
1875,891,-1.0
569,180,1.0
570,180,1.0
571,180,1.0
572,180,1.0
573,180,-1.0
733,260,1.0
734,260,1.0
735,260,1.0
736,260,1.0
737,260,1.0
738,260,1.0
739,260,1.0
1368,665,-1.0
1369,665,-1.0
1876,665,-1.0
658,665,-1.0
1877,881,-1.0
1878,881,-1.0
775,774,-1.0
1448,774,-1.0
1449,774,-1.0
1444,774,-1.0
1450,774,-1.0
1451,774,-1.0
1443,774,-1.0
1774,1767,1.0
763,276,1.0
1879,276,1.0
1880,276,1.0
1595,946,1.0
1596,946,1.0
1068,93,1.0
1069,93,1.0
1070,93,1.0
1881,93,-1.0
205,27,1.0
206,27,1.0
1201,1069,-1.0
1882,1383,-1.0
906,352,-1.0
907,352,-1.0
646,237,-1.0
647,237,-1.0
1883,328,1.0
891,328,1.0
1884,328,1.0
1885,247,-1.0
892,329,1.0
893,329,1.0
1886,329,1.0
1887,329,1.0
894,329,-1.0
895,329,-1.0
1888,1026,-1.0
1138,1026,-1.0
1139,1026,-1.0
1339,614,-1.0
638,233,-1.0
639,233,-1.0
753,268,1.0
1889,268,1.0
1351,658,-1.0
1890,658,-1.0
1352,658,-1.0
917,52,-1.0
918,52,-1.0
919,52,-1.0
920,52,-1.0
921,52,-1.0
1768,1753,1.0
1769,1753,1.0
759,275,1.0
760,275,1.0
761,275,1.0
762,275,1.0
1891,275,1.0
1892,31,1.0
1893,31,1.0
1894,31,-1.0
614,218,-1.0
223,218,-1.0
390,114,-1.0
1756,1710,-1.0
1757,1710,-1.0
1758,1710,-1.0
537,164,1.0
538,164,1.0
1895,101,1.0
1896,101,1.0
1897,101,1.0
1898,101,-1.0
1899,101,-1.0
1900,101,-1.0
1901,101,-1.0
1902,101,-1.0
764,277,1.0
765,277,1.0
1903,277,1.0
766,277,1.0
1666,1269,1.0
1667,1269,1.0
1668,1269,1.0
1669,1269,1.0
1670,1269,1.0
1671,1269,1.0
1672,1269,1.0
369,105,1.0
370,105,1.0
371,105,1.0
372,105,1.0
373,105,1.0
109,105,-1.0
110,105,-1.0
374,105,-1.0
115,105,-1.0
1118,1015,-1.0
1119,1015,-1.0
1120,1015,-1.0
1317,555,-1.0
