n,url,label
0,"Nous_ne_sommes_pas_conscients_des_causes_qui_nous_d%C3%A9terminent","Nous ne sommes pas conscients des causes qui nous déterminent"
1,"J%27ai_le_sentiment_d%27%C3%AAtre_libre","J'ai le sentiment d'être libre"
2,"La_m%C3%A9thode_C%C3%A9line_Alvarez_a_des_r%C3%A9sultats_spectaculaires","Des résultats spectaculaires"
3,"La_m%C3%A9thode_C%C3%A9line_Alvarez_est_tr%C3%A8s_efficace","Une méthode très efficace"
4,"La_m%C3%A9thode_C%C3%A9line_Alvarez_produit_une_pr%C3%A9cocit%C3%A9_dans_les_apprentissages","Précocité dans les apprentissages"
5,"La_m%C3%A9thode_C%C3%A9line_Alvarez_produit_des_r%C3%A9sultats_chez_des_enfants_d%C3%A9favoris%C3%A9s","Des résultats chez des enfants défavorisés"
6,"leaf_0","L'utilisation de médicaments et d'hormones sur les animaux n'est pas systématique"
7,"L%27utilisation_de_m%C3%A9dicaments_et_d%27hormones_sur_les_animaux_est_toxique_pour_l%27homme","L'utilisation de médicaments et d'hormones sur les animaux est toxique pour l'homme"
8,"Pour_affirmer_que_le_voile_islamique_lib%C3%A8re,_il_faut_refuser_de_voir_la_situation_des_femmes_voil%C3%A9es_dans_des_pays_comme_l%27Iran_ou_l%27Afghanistan","Pour affirmer que le voile libère, il faut refuser de voir la situation des femmes voilées dans des pays comme l'Iran ou l'Afghanistan"
9,"Il_y_a_des_usages_contestataires_et_%C3%A9mancipateurs_du_voile_islamique","Il y a des usages contestataires et émancipateurs du voile"
10,"leaf_1","La majorité des hommes dominent leur compagne et freinent leur émancipation"
11,"Les_hommes_peuvent_faciliter_et_encourager_l%27%C3%A9mancipation_de_leur_compagne","Les hommes peuvent faciliter et encourager l'émancipation de leur compagne"
12,"leaf_2","L'émancipation des femmes doit être l'oeuvre des femmes elles-mêmes"
13,"Le_combat_pour_porter_la_minijupe_est_un_combat_contre_une_conception_patriarcale_de_la_pudeur,_contrairement_au_voile_islamique","Le combat féministe pour porter la minijupe est un combat contre une conception patriarcale de la pudeur"
14,"Le_voile_islamique_n%27est_pas_plus_oppressif_que_bien_d%27autres_v%C3%AAtements","Le voile n'est pas plus oppressif que bien d'autres vêtements"
15,"La_religion_est_bien_plus_prescriptive_que_la_mode_ou_la_domination_masculine","La religion est bien plus prescriptive que la mode ou la domination masculine"
16,"Les_notes_sont_biais%C3%A9es","Les notes sont biaisées"
17,"Faut-il_supprimer_les_notes_%C3%A0_l%27%C3%A9cole_%3F","Faut-il supprimer les notes à l'école ?"
18,"leaf_3","Les notes sont une source de stress et de mal-être"
19,"Les_notes_sont_injustes","Les notes sont injustes"
20,"leaf_4","Les notes renforcent la compétition entre les élèves"
21,"Il_existe_de_meilleurs_syst%C3%A8mes_d%27%C3%A9valuation_que_les_notes","Il existe de meilleurs systèmes d'évaluation"
22,"leaf_5","Les notes sont un fétichisme à dépasser"
23,"Une_note_ne_dit_pas_ce_qu%27elle_%C3%A9value_(contrairement_aux_comp%C3%A9tences)","Une note ne dit pas ce qu'elle évalue (contrairement aux compétences)"
24,"Les_notes_permettent_de_situer_les_%C3%A9l%C3%A8ves","Les notes permettent de situer les élèves"
25,"Les_notes_motivent_les_%C3%A9l%C3%A8ves_%C3%A0_travailler","Les notes motivent les élèves à travailler"
26,"La_notation_est_un_syst%C3%A8me_juste_et_pr%C3%A9cis","La notation est un système juste et précis"
27,"leaf_6","La notation est le moins mauvais des systèmes"
28,"La_libert%C3%A9_d%27expression_entraine_des_abus","La liberté d'expression entraine des abus"
29,"La_libert%C3%A9_d%27expression_conditionne_l%27exercice_de_nombreux_autres_droits","Elle conditionne l'exercice de nombreux autres droits"
30,"Les_trappes_%C3%A0_inactivit%C3%A9_ne_repr%C3%A9sentent_qu%27une_proportion_minime_de_ch%C3%B4meurs","Une situation négligeable"
31,"Le_revenu_de_base_permet_de_supprimer_les_trappes_%C3%A0_inactivit%C3%A9","La suppression des trappes à inactivité"
32,"Les_machines_%C3%A0_voter_sont_s%C3%A9curis%C3%A9es_par_des_experts","Les machines à voter sont sécurisées par des experts"
