,class,n1,n2
0,-1,27009,25020
1,-1,25070,23593
2,1,7829,3116
3,-1,6675,2486
4,1,26192,25035
5,-1,30165,28818
6,-1,22861,20447
7,1,32647,32442
8,1,28685,27298
9,-1,13259,10347
10,1,6604,3051
11,1,27477,26230
12,-1,15082,11569
13,1,32615,32490
14,1,22344,20340
15,1,3213,1342
16,-1,28819,27498
17,-1,25920,24186
18,-1,24889,24080
19,-1,8224,5545
20,-1,33985,33466
21,1,19683,17757
22,1,29661,28444
23,-1,5090,1440
24,-1,31850,31099
25,-1,24828,23499
26,1,8751,2912
27,1,32152,31905
28,1,25968,25427
29,-1,10863,7424
30,-1,24268,21996
31,1,7357,4984
32,1,27489,26081
33,1,20208,21135
34,-1,23742,22170
35,-1,11184,5322
36,-1,31172,30919
37,-1,17211,16052
38,1,29218,27382
39,-1,4173,1092
40,-1,21616,19954
41,-1,3032,644
42,-1,16843,15338
43,-1,14043,11963
44,-1,9673,9040
45,1,19095,17412
46,1,23685,22100
47,-1,23984,24859
48,-1,24849,23518
49,1,13164,11717
50,-1,18198,15312
51,-1,8296,3602
52,1,15452,13427
53,1,33103,32852
54,1,4939,544
55,1,10082,8352
56,-1,33193,32513
57,1,21589,20866
58,-1,33478,32919
59,-1,25852,23406
60,-1,2729,1508
61,1,30445,29835
62,1,20427,18506
63,-1,29390,28345
64,1,259,0
65,1,34201,34008
66,-1,8589,4675
67,1,17770,17240
68,1,12282,6917
69,-1,31414,30678
70,-1,3396,1155
71,-1,26207,28218
72,-1,6683,4112
73,-1,30953,29801
74,-1,6593,2766
75,-1,29365,27847
76,-1,31687,30711
77,-1,25167,25641
78,-1,16736,15514
79,-1,14368,10850
80,1,6917,5001
81,-1,1844,263
82,1,29957,29074
83,1,19164,17428
84,1,31064,30649
85,-1,8971,4156
86,-1,30516,30193
87,1,6979,3958
88,-1,26638,24989
89,-1,2866,1111
90,1,6385,6208
91,-1,28235,26655
92,-1,11876,6495
93,1,33843,33614
94,1,8882,4743
95,-1,32840,32500
96,-1,12670,12310
97,-1,12520,7149
98,1,23696,21932
99,1,25431,24187
100,-1,6580,5497
101,-1,24783,23006
102,1,17138,15930
103,1,4924,2151
104,-1,26422,26421
105,1,27207,26701
106,-1,10225,7734
107,-1,30274,29533
108,1,16123,14369
109,1,32837,32485
110,1,11089,7888
111,1,26631,27151
112,-1,10853,2288
113,1,33434,32997
114,1,32775,32485
115,-1,9434,8128
116,-1,8244,4482
117,1,25939,25077
118,1,17393,17138
119,1,786,233
120,-1,32245,32105
121,-1,23515,22065
122,1,5402,5477
123,-1,25528,23409
124,-1,4780,1369
125,-1,3685,2028
126,1,4904,1294
127,1,34241,33933
128,1,4090,2065
129,1,23700,22111
130,1,25180,24118
131,-1,26939,24818
132,1,16661,15196
133,1,9847,6732
134,1,23563,21586
135,1,63,0
136,1,8769,4615
137,-1,8510,2254
138,1,25721,23374
139,-1,31505,30304
140,1,29705,28541
141,1,12315,3852
142,1,9066,4722
143,1,29995,28726
144,-1,28773,29718
145,-1,29321,28346
146,-1,32238,31894
147,-1,33144,32622
148,1,27451,26207
149,-1,24782,23980
150,-1,27395,26541
151,-1,23450,22763
152,-1,30149,28497
153,1,28766,27801
154,1,32801,32470
155,-1,24024,22430
156,1,26799,24815
157,1,22198,20346
158,-1,34106,33805
159,1,21562,20802
160,-1,4161,1193
161,1,28920,27470
162,-1,28111,26704
163,-1,5054,831
164,-1,25461,23710
165,1,20930,19243
166,1,33853,33427
167,1,18919,20484
168,-1,5366,1389
169,-1,23355,21783
170,1,20546,18959
171,1,30894,29725
172,-1,31811,31694
173,1,13766,11716
174,1,32140,31974
175,1,18152,16093
176,-1,9642,7572
177,-1,30624,29893
178,1,20428,19008
179,-1,29071,27957
180,1,27810,26573
181,1,24652,23669
182,-1,31665,30629
183,-1,30610,29890
184,1,18570,17278
185,1,17258,16129
186,-1,10293,8170
187,1,24873,24435
188,-1,23766,21490
189,1,5848,2109
190,-1,7515,4405
191,1,18892,17914
192,-1,28990,27825
193,1,22192,19781
194,-1,27618,26286
195,1,6673,6672
196,1,29616,29382
197,1,32528,32349
198,-1,23316,21828
199,1,20133,18969
200,-1,31300,30685
201,1,16930,15987
202,1,29370,27917
203,1,30087,29333
204,1,30108,29320
205,-1,30044,28924
206,-1,10880,5335
207,-1,9989,8540
208,-1,30528,30067
209,-1,25048,24094
210,-1,10069,7809
211,1,23607,22004
212,1,18266,17471
213,1,26091,24721
214,1,14004,12517
215,1,14877,11373
216,1,8379,2993
217,1,20778,18296
218,1,27749,26795
219,1,21252,19605
220,-1,29256,27392
221,-1,23634,22034
222,1,18595,17745
223,1,21573,21157
224,-1,27907,26664
225,-1,4311,1790
226,-1,16105,13240
227,1,33806,33130
228,-1,9608,6532
229,1,29228,28199
230,1,16684,15415
231,-1,25683,23836
232,1,1305,208
233,1,25191,24387
234,1,19481,17916
235,1,14055,9753
236,1,7812,3094
237,1,19998,19409
238,-1,28731,28340
239,-1,6703,3804
240,1,34078,33691
241,1,7546,3191
242,1,32512,32387
243,1,30041,28586
244,-1,30827,29801
245,1,21207,18270
246,1,14786,10765
247,-1,25156,23333
248,-1,5696,1949
249,-1,23224,22810
250,-1,31648,30945
251,1,34002,33471
252,-1,9740,8203
253,1,3155,2238
254,-1,28338,26699
255,1,3662,1813
256,-1,2586,596
257,-1,31312,31004
258,-1,16241,12735
259,1,17502,16674
260,1,22717,21064
261,-1,1760,90
262,1,33764,33007
263,-1,19938,24390
264,-1,8994,3640
265,1,146,1
266,-1,5218,800
267,-1,28388,27126
268,1,7890,4388
269,1,30003,29176
270,-1,24283,22483
271,1,25943,24528
272,1,28202,26342
273,-1,23448,21804
274,1,11718,3852
275,1,26128,25140
276,-1,6931,6191
277,-1,26723,25390
278,-1,17065,16203
279,1,33209,32674
280,1,28950,27812
281,-1,714,97
282,-1,27924,28035
283,1,21865,21052
284,1,6113,2107
285,-1,9702,7685
286,-1,24255,22139
287,1,7306,5693
288,-1,12366,2763
289,1,1815,70
290,-1,7320,6115
291,1,18318,17708
292,-1,30725,29657
293,1,464,61
294,1,29394,27494
295,1,18459,17312
296,1,29493,28786
297,-1,29546,28648
298,1,30606,29895
299,1,23937,21417
300,-1,5923,1439
301,-1,2415,305
302,1,32645,32377
303,1,12379,6021
304,-1,29209,28031
305,-1,24302,22114
306,1,31646,30952
307,-1,32062,31559
308,-1,24063,22356
309,1,26828,25591
310,1,29657,28444
311,1,16729,15930
312,1,29741,28697
313,1,334,290
314,1,31406,30269
315,-1,28071,25943
316,-1,966,140
317,1,5132,1957
318,1,5508,2046
319,-1,25587,24171
320,-1,32438,32201
321,-1,31172,31866
322,1,24635,23962
323,1,19000,17997
324,-1,26361,25066
325,1,3714,1278
326,-1,33519,33172
327,1,23351,22110
328,1,21033,18891
329,1,32785,32489
330,-1,25966,25498
331,-1,8430,2885
332,1,21584,20600
333,1,26404,24938
334,-1,28179,26347
335,1,11367,6550
336,1,19904,18908
337,-1,593,262
338,1,31008,30290
339,-1,6033,747
340,1,11533,5625
341,-1,28329,26447
342,1,5622,675
343,-1,11932,3394
344,1,29827,28991
345,-1,7768,6075
346,-1,29846,28438
347,1,32662,32382
348,1,17344,17091
349,-1,33085,32672
350,1,33988,33373
351,1,9352,8326
352,1,4885,665
353,1,15988,14376
354,1,12598,4797
355,1,18900,17586
356,1,20932,19046
357,1,10368,4144
358,-1,23356,22070
359,1,24378,21515
360,1,15110,10020
361,1,19176,17997
362,1,26600,25379
363,-1,22545,20166
364,-1,18085,15243
365,1,29927,29018
366,1,25279,23582
367,1,2035,61
368,-1,25751,23994
369,-1,28720,27758
370,-1,11263,2912
371,1,6111,16479
372,1,34096,33724
373,-1,10886,3185
374,-1,14304,11473
375,-1,3601,764
376,1,27684,26701
377,1,1602,69
378,-1,16395,14288
379,1,6176,967
380,-1,33796,33289
381,1,31199,30748
382,1,24146,21725
383,-1,31588,31758
384,1,5420,1976
385,-1,25529,23154
386,1,10840,3536
387,1,18554,17289
388,-1,25041,24509
389,-1,26699,24718
390,-1,24436,21440
391,1,10726,7404
392,-1,29379,28037
393,1,31851,31297
394,-1,24222,22013
395,-1,30871,30117
396,1,26326,25010
397,-1,26978,25337
398,-1,28644,27628
399,-1,16476,14890
400,1,24688,23115
401,-1,3400,2153
402,-1,12246,2276
403,-1,12080,4703
404,-1,9005,7655
405,-1,24712,23388
406,-1,6302,1326
407,-1,34055,33440
408,-1,9357,6958
