,debate_name,debate_num,n,s
0, Pour ou contre le communisme ?,41,209, Le communisme répond aux besoins de la population
1, Lénine est-il le précurseur de Staline ?,28,1463," Les 2 et 5 décembre 1919, il ne justifie pas le terrorisme mais renvoie l'accusation"
2, Faut-il accueillir davantage de migrants ?,3,1629," Quand ils connaissent personnellement des migrants, les français sont contents de les accueillir"
3, La liberté d'expression doit-elle être limitée ?,24,993, Limiter la liberté d'expression conduit à étouffer la contestation
4, Lénine est-il le précurseur de Staline ?,28,701, Lénine a toujours pris parti pour la démocratie des soviets
5, La classe ouvrière est-elle la seule classe révolutionnaire ?,21,1748," À la sortie de la Deuxième Guerre mondiale, les bureaucraties syndicales ont renforcé leur pouvoir à travers les propositions du Conseil national de la Résistance"
6, Lénine est-il le précurseur de Staline ?,28,1472, Les bolchéviks réalisent les aspirations des masses dans la première année du régime soviétique
7, Lénine est-il le précurseur de Staline ?,28,675, Lénine a encouragé le pillage des riches
8, La liberté d'expression doit-elle être totale ?,25,1119, Ce qui est dangereux n'est pas la pensée mais l'expression publique des pensées
9, La liberté d'expression doit-elle être totale ?,25,1190, Il faut une pornographie différente
10, La classe ouvrière est-elle la seule classe révolutionnaire ?,21,1767," À la sortie de la Deuxième Guerre mondiale, la CGT n'a déclenché des grèves que lorsqu'elle était en situation de les contrôler"
11, Faut-il privatiser ADP ?,14,2336,Les aéroports de Paris sont en concurrence avec d'autres aéroports pour certaines activités
12, L'Europe occidentale est-elle en déclin ?,19,640, La participation à des actions collectives recule en France
13, Le Front national est-il un parti fasciste ?,29,557, L'usage du terme « populisme » sert à amalgamer extrême droite et gauche radicale
14, Les hommes doivent-ils rejoindre le combat féministe ?,37,1069, Seuls les hommes ont les moyens de mettre fin à la domination masculine
15, La religion est-elle compatible avec le marxisme ?,27,921, Les religions oppriment les individus
16, Les religions se rejoignent-elles ?,38,294, Les religions véhiculent un message identique
17, Faut-il instaurer un revenu de base ?,9,779, Le revenu de base est une mesure politique appliquable dès maintenant
18, Une spiritualité rationnelle est-elle possible ?,46,46, Une spiritualité rationnelle est-elle possible ?
19, La classe ouvrière est-elle la seule classe révolutionnaire ?,21,2338,Les autres classes sociales n'ont pas cette capacité
20, Faut-il accueillir davantage de migrants ?,3,883, Les migrants vont payer les retraites
21, Lénine est-il le précurseur de Staline ?,28,1073, Tous les partis révolutionnaires russes étaient autoritaires et fortement centralisés avant la Révolution russe
22, Faut-il généraliser le vote électronique ?,7,1403, Le bourrage d'urnes est difficilement réalisable à grande échelle sans être détecté
23, Dieu existe-t-il ? (nouvelle version),1,948, Les valeurs morales évoluent avec le temps
24, Dieu existe-t-il ?,0,2044,
25, La liberté d'expression doit-elle être totale ?,25,1059," Quand on limite la liberté d'expression, on ne peut plus s'arrêter"
26, La religion est-elle compatible avec le marxisme ?,27,1799,Les religions imposent des pratiques chronophages
27, Dieu existe-t-il ?,0,2001,
28, La religion est-elle compatible avec le marxisme ?,27,1889,Les religions sont plurielles
29, Le réchauffement climatique est-il dû à l'activité humaine ?,34,1351, La tendance au réchauffement climatique a repris à partir de 2013
30, La religion est-elle compatible avec le marxisme ?,27,289, Les religions sont des sources d'oppressions
31, L'Europe occidentale est-elle en déclin ?,19,1495, Les citoyens peuvent se tromper
32, Lénine est-il le précurseur de Staline ?,28,687, Lénine a légalisé la violence contre les opposants par la création d'un Code pénal
33, Dieu existe-t-il ? (nouvelle version),1,2185,Les prétendues expériences mystiques sont des histoires inventées de toutes pièces
34, Faut-il incinérer les déchets ménagers à La Réunion ?,8,1498, Les CSR sont fabriqués à partir des refus de tri
35, Dieu existe-t-il ?,0,2042,
36, Faut-il arrêter de manger des animaux ?,4,325, Manger des animaux est la norme dans la nature
37, Le réchauffement climatique est-il dû à l'activité humaine ?,34,1228, L'activité solaire ne peut expliquer l'augmentation de la température depuis 1980
38, Une spiritualité rationnelle est-elle possible ?,46,2404,Les énoncés spirituels sont précis
39, La liberté d'expression doit-elle être totale ?,25,1039, On ne peut pas contrôler la diffusion des idées
40, La classe ouvrière est-elle la seule classe révolutionnaire ?,21,596, La division de la classe ouvrière est une politique consciente de la bourgeoisie
41, Pour ou contre le communisme ?,41,732, Le communisme se moque de l'art
42, Faut-il arrêter de manger des animaux ?,4,799, Le sacré dépend des religions et des croyances
43, Dieu existe-t-il ? (nouvelle version),1,1806,Ce qui est peu crédible peut être vrai
44, Pour ou contre le communisme ?,41,1354, La terreur soviétique a été pire que celle du nazisme
45, Faut-il instaurer un revenu de base ?,9,782, Le revenu de base harmonise par le bas le revenu des chômeurs et des retraités
46, L'Europe occidentale est-elle en déclin ?,19,2288,
47, Faut-il instaurer un revenu de base ?,9,1612, On peut financer le revenu de base en suivant la proposition de financement de Baptiste Mylondo
48, La liberté d'expression doit-elle être totale ?,25,1511, Les Etats bloquent l'accès à certains sites
49, Lénine est-il le précurseur de Staline ?,28,1700, Lénine a violemment réprimé les ouvriers de l'Oural en 1920 suite aux mesures de militarisation du travail
50, Faut-il légaliser le cannabis ?,11,1437," Le pouvoir addictif du cannabis n'est ni faible ni fort en soi, il dépend de son niveau d'usage"
51, Dieu existe-t-il ? (nouvelle version),1,2175,Nous avons en nous des concepts que nous n'avons pas pu créer
52, La gauche doit-elle défendre le port du voile islamique ?,23,828," Les femmes, et les femmes voilées en particulier, sont toujours considérées coupables"
53, Faut-il instaurer un revenu de base ?,9,780, Le revenu de base est un mode de rétribution adapté au capitalisme cognitif
54, Faut-il instaurer un revenu de base ?,9,1219, Instaurer un revenu de base permet une plus grande flexibilité du travail
55, Faut-il généraliser le vote électronique ?,7,863, Les machines à voter ont une durée de vie limitée
56, La classe ouvrière est-elle la seule classe révolutionnaire ?,21,2452,Une classe touchée par le racisme et le sexisme
57, Les hommes doivent-ils rejoindre le combat féministe ?,37,2496,L'ambiguïté contribue à la magie de la séduction
58, Espaces ou tabulations ?,2,2211,Les tabulations économisent de l'espace disque
59, La liberté d'expression doit-elle être totale ?,25,1595, Limiter le cyberharcèlement conduit à la surveillance généralisée
60, Faut-il incinérer les déchets ménagers à La Réunion ?,8,1340, La règlementation est parfois contournée
61, Lénine est-il le précurseur de Staline ?,28,705, Lénine a violemment réprimé les ouvriers
62, Faut-il arrêter de manger des animaux ?,4,2498,Comme pour bien d'autres travaux
63, Pour ou contre le communisme ?,41,2168,Le communisme est liberticide
64, Faut-il préserver les Murs à pêches de Montreuil ?,13,766, Le projet de reconversion de l'usine EIF prépare les opérateurs privés à faire ce qu'ils veulent des Murs à pêches de Montreuil
65, Dieu existe-t-il ? (nouvelle version),1,1624, Un Dieu à l'image de l'homme est trop humain pour être crédible
66, La liberté d'expression doit-elle être limitée ?,24,619, La liberté d'expression est un pilier de la démocratie
67, Les hommes doivent-ils rejoindre le combat féministe ?,37,1575, Les violences sexistes sont omniprésentes
68, La liberté d'expression doit-elle être limitée ?,24,1325, La notion d'incitation est floue
69, La classe ouvrière est-elle la seule classe révolutionnaire ?,21,2156,Il faut en finir avec l'ouvriérisme
70, Faut-il arrêter de manger des animaux ?,4,1004, Manger des animaux conduit à infliger aux animaux d'élevage une violence source de nombreuses souffrances sur les poulets
71, Les hommes doivent-ils rejoindre le combat féministe ?,37,848, Les hommes ont le devoir de réparer les injustices dont ils sont les auteurs
72, Faut-il arrêter de manger des animaux ?,4,907, Les pratiques ancestrales ne sont pas forcément bonnes
73, La liberté d'expression doit-elle être limitée ?,24,1617, On peut limiter la propagation de certaines opinions
74, Faut-il incinérer les déchets ménagers à La Réunion ?,8,1526, Les incinérateurs continuent à émettre des métaux lourds.
75, Dieu existe-t-il ? (nouvelle version),1,1276, La cause première peut être d'une autre nature que physique
76, La liberté d'expression doit-elle être totale ?,25,89, Il faut limiter la liberté d'expression pour respecter la propriété intellectuelle
77, Les footballeurs professionnels sont-ils trop payés ?,36,2373,La charité individuelle a toujours été bien moins efficace que l'État social pour améliorer la condition humaine
78, Les hommes doivent-ils rejoindre le combat féministe ?,37,1903,"Dans la plupart des familles, ce sont les femmes qui s'occupent des enfants et des tâches domestiques"
79, Dieu existe-t-il ?,0,2111,
80, Pour ou contre le capitalisme ?,40,1961,Le capitalisme nuit aux relations sexuelles
81, Pour ou contre le capitalisme ?,40,1912,Le capitalisme ignore le problème de l'épuisement des ressources en pétrole
82, Lénine est-il le précurseur de Staline ?,28,908, Les pratiques bureaucratiques étaient enracinées dans la société russe
83, La classe ouvrière est-elle la seule classe révolutionnaire ?,21,1736, Le statut d'étudiant est transitoire et contradictoire
84, Faut-il se faire vacciner ?,16,991, Liens entre certains vaccins et des pathologies lourdes
85, Dieu existe-t-il ?,0,2096,
86, Une spiritualité rationnelle est-elle possible ?,46,2414,La spiritualité produit des énoncés vagues et de l'indicible
87, Dieu existe-t-il ? (nouvelle version),1,2178,Il n'existe pas d'esprit en dehors de la matière
88, La classe ouvrière est-elle la seule classe révolutionnaire ?,21,583, La classe ouvrière est trop hétérogène
89, Dieu existe-t-il ?,0,2103,
90, L'Europe occidentale est-elle en déclin ?,19,2285,
91, La liberté d'expression doit-elle être limitée ?,24,1263, L'interdiction incite à la transgression
92, La classe ouvrière est-elle la seule classe révolutionnaire ?,21,1282, La classe ouvrière n'a jamais été homogène
93, La religion est-elle compatible avec le marxisme ?,27,2542,Les religions s'opposent à la science et aux découvertes scientifiques
94, Dieu existe-t-il ? (nouvelle version),1,424," Dieu explique la création, l'adaptation et la complexité des espèces"
95, La liberté d'expression doit-elle être limitée ?,24,531, L'espace public n'est pas un supermarché
96, Pour ou contre le capitalisme ?,40,1877,Le capitalisme fait travailler les personnes dans des conditions indécentes
97, Faut-il généraliser le vote électronique ?,7,1655, Une vérification par la blockchain est possible pour voter par internet
98, Faut-il accueillir davantage de migrants ?,3,1153, Différence entre stock et flux
99, Faut-il généraliser le vote électronique ?,7,388, D'autres pays s'engagent à expérimenter le vote électronique
100, Faut-il incinérer les déchets ménagers à La Réunion ?,8,357, Une alternative écologique
101, Faut-il dépénaliser le cannabis ?,6,2210,
102, Faut-il généraliser le vote électronique ?,7,983, Le vote électronique permet de réduire l'abstention
103, La classe ouvrière est-elle la seule classe révolutionnaire ?,21,2377,La classe ouvrière inclut les chômeurs
104, Faut-il arrêter de manger des animaux ?,4,1525, Les impacts de l'élevage intensif de porcs pourraient être externalisés
105, La liberté d'expression doit-elle être limitée ?,24,472, Il faut limiter la liberté d'expression pour lutter contre le terrorisme
106, Faut-il instaurer un revenu de base ?,9,2538,Le travail peut aussi favoriser les mêmes problèmes
107, Lénine est-il le précurseur de Staline ?,28,671, Lénine a cherché à étendre la guerre civile au monde entier
108, La religion est-elle compatible avec le marxisme ?,27,1887,Les religions portent en elles l'égalité entre les hommes et l'émancipation
109, Faut-il privatiser ADP ?,14,2135,Il n'est pas garanti que les nouveaux actionnaires fassent les investissements souhaités par l'Etat
110, La croyance en Dieu est-elle bénéfique ?,22,1849,La religion est une inversion des valeurs et in fine un nihilisme
111, Les footballeurs professionnels sont-ils trop payés ?,36,2190,Les joueurs bénéficient aussi de primes et de rentes
112, Lénine est-il le précurseur de Staline ?,28,679, Lénine a fait massacrer la famille impériale
113, La liberté d'expression doit-elle être limitée ?,24,470, Il faut limiter la liberté d'expression pour lutter contre les propos incitant à la violence
114, La liberté d'expression doit-elle être totale ?,25,2188,Il faut protéger le droit de citation
115, La classe ouvrière est-elle la seule classe révolutionnaire ?,21,1687, La direction de la CGT a mis tout son poids pour canaliser la grève générale de 1936 en France
116, Pour ou contre le capitalisme ?,40,192, Le capitalisme est amené à s'effondrer
117, La liberté d'expression doit-elle être totale ?,25,460, Il faut limiter la liberté d'expression pour lutter contre la diffamation et les propos mensongers
118, Pour ou contre le capitalisme ?,40,1991,Le capitalisme va nous conduire à une troisième guerre mondiale
119, L'Europe occidentale est-elle en déclin ?,19,2391,"Les contre-pouvoirs ne sont ni contrôlés par, ni représentatifs du peuple."
120, Pour ou contre le communisme ?,41,1218, Imputer les crimes du communisme à une idée est du délit d'intention
121, Faut-il accueillir davantage de migrants ?,3,50, Accueillir les migrants est un plus pour l'économie des pays européens
122, Pour ou contre le capitalisme ?,40,724, Le capitalisme est capable de se réapproprier les critiques anticapitalistes
123, Faut-il incinérer les déchets ménagers à La Réunion ?,8,2370,Créer des emplois
124, La liberté d'expression doit-elle être limitée ?,24,2187,Par le secret des affaires
125, Le réchauffement climatique est-il dû à l'activité humaine ?,34,2473,L'influence des gaz à effet de serre sur le réchauffement climatique est surestimée par le GIEC
126, Dieu existe-t-il ?,0,2083,
127, Dieu existe-t-il ? (nouvelle version),1,1127, Ceux qui parlent de création à partir de rien jouent sur les mots
128, Faut-il préserver les Murs à pêches de Montreuil ?,13,92, Il faut préserver les Murs à pêches de Montreuil pour promouvoir la biodiversité
129, Dieu existe-t-il ? (nouvelle version),1,420, Dieu explique l'apparition de la vie
130, La liberté d'expression doit-elle être totale ?,25,899, Les paroles et les images ne sont pas des actes
131, Faut-il incinérer les déchets ménagers à La Réunion ?,8,1357, La valorisation des mâchefers est controversée
132, Faut-il boycotter Facebook ?,5,945, Les utilisateurs de Facebook consentent à donner leur données personnelles
133, Faut-il instaurer un revenu de base ?,9,1458, Le revenu de base peut être un remède à la souffrance au travail
134, La gauche doit-elle défendre le port du voile islamique ?,23,1582, Le voile islamique est la marque concrète de l'oppression des hommes sur les femmes
135, Dieu existe-t-il ?,0,2032,
136, Lénine est-il le précurseur de Staline ?,28,757, Le parti léniniste est le parti d'une avant-garde autoproclamée
137, La croyance en Dieu est-elle bénéfique ?,22,1838,La croyance en Dieu permet de croire que l'esprit humain touche des vérités objectives
138, Faut-il instaurer un revenu de base ?,9,429, Donner un revenu de base inconditionnel est immoral
139, La liberté d'expression doit-elle être limitée ?,24,465, Il faut limiter la liberté d'expression pour lutter contre le négationnisme
140, L'Europe occidentale est-elle en déclin ?,19,453, Il existe un pluralisme politique en France
141, Le logiciel libre est-il en déclin ?,30,30, Le logiciel libre est-il en déclin ?
142, Faut-il privatiser ADP ?,14,2428,L’Etat aura à composer avec une logique de maximisation des profits
143, Faut-il se faire vacciner ?,16,1921,Lien entre le vaccin contre le papillomavirus et des maladies auto-immunes
