n1,n2,weight
464,205,1.0
465,205,1.0
637,468,-1.0
204,10,1.0
591,400,-1.0
597,400,-1.0
349,32,-0.5
319,32,-1.0
344,32,-1.0
345,32,-0.5
318,32,-1.0
337,32,1.0
400,113,1.0
556,348,-0.5
457,159,1.0
213,13,1.0
214,13,-0.5
215,13,1.0
216,13,1.0
217,13,1.0
218,13,1.0
212,13,-1.0
565,358,1.0
572,358,-1.0
711,710,-1.0
635,466,-1.0
560,349,1.0
320,34,1.0
549,330,-0.5
543,338,1.0
373,64,1.0
595,403,-1.0
529,261,-1.0
105,7,1.0
474,229,1.0
487,240,1.0
486,240,1.0
697,656,-1.0
682,610,1.0
619,433,-0.5
701,680,-0.5
594,402,-1.0
599,402,-1.0
592,404,1.0
629,447,-0.5
524,263,1.0
447,156,1.0
431,156,1.0
433,156,1.0
438,156,1.0
445,156,1.0
453,156,-0.5
434,156,1.0
627,439,-0.5
628,439,1.0
558,325,1.0
675,600,-1.0
674,592,1.0
676,592,-1.0
662,545,1.0
641,486,-1.0
593,406,1.0
459,180,-1.0
589,399,1.0
590,399,-1.0
523,276,-1.0
314,27,1.0
567,352,-1.0
573,352,-0.5
484,237,-1.0
488,237,1.0
569,328,1.0
536,329,-0.5
477,233,1.0
530,268,-0.5
354,52,1.0
667,590,-1.0
317,31,-0.5
429,114,1.0
598,411,-0.5
399,105,-1.0
435,151,1.0
581,384,-1.0
518,271,-0.5
510,257,1.0
516,257,-1.0
367,67,1.0
654,549,-1.0
562,339,-1.0
448,157,1.0
444,157,-0.5
409,130,-1.0
532,314,-1.0
38,4,-0.5
34,4,-0.5
33,4,-1.0
45,4,-1.0
46,4,-0.5
39,4,-1.0
51,4,-0.5
37,4,-0.5
43,4,-0.5
48,4,-0.5
52,4,-1.0
58,4,-0.5
64,4,-0.5
67,4,-0.5
35,4,-0.5
36,4,1.0
42,4,-0.5
44,4,-1.0
47,4,-0.5
49,4,-0.5
50,4,-1.0
53,4,-1.0
55,4,-0.5
56,4,-0.5
59,4,-1.0
60,4,-0.5
61,4,-1.0
63,4,1.0
65,4,1.0
66,4,-0.5
68,4,-0.5
69,4,-1.0
32,4,1.0
54,4,1.0
57,4,-1.0
62,4,1.0
40,4,-0.5
41,4,1.0
684,619,-1.0
685,619,1.0
473,219,1.0
475,219,-1.0
479,219,1.0
481,219,-0.5
482,219,-0.5
483,219,-0.5
622,444,-1.0
647,516,-0.5
692,633,1.0
693,633,1.0
694,633,1.0
496,243,1.0
491,243,1.0
492,243,1.0
650,511,1.0
419,125,1.0
421,125,1.0
559,331,1.0
514,279,1.0
691,634,1.0
696,655,-1.0
243,16,1.0
246,16,-1.0
244,16,1.0
245,16,1.0
247,16,-1.0
248,16,-1.0
249,16,-1.0
340,44,-0.5
329,38,1.0
323,38,1.0
331,38,1.0
364,38,-0.5
332,38,1.0
375,38,-0.5
366,38,1.0
642,493,-0.5
502,254,-1.0
548,332,-0.5
679,602,1.0
426,119,1.0
471,212,-1.0
653,534,-1.0
353,58,1.0
219,14,1.0
221,14,1.0
220,14,-0.5
223,14,1.0
224,14,1.0
225,14,1.0
226,14,1.0
227,14,1.0
229,14,1.0
232,14,1.0
233,14,1.0
222,14,1.0
228,14,1.0
230,14,1.0
234,14,1.0
235,14,1.0
236,14,1.0
231,14,-0.5
24,0,-0.5
21,0,-1.0
22,0,-1.0
20,0,1.0
23,0,1.0
391,91,-1.0
388,91,1.0
389,91,-1.0
533,318,-1.0
537,318,-1.0
631,450,1.0
316,30,-1.0
430,149,1.0
639,473,1.0
668,589,-1.0
672,596,-1.0
673,596,-1.0
469,207,-1.0
456,152,-1.0
408,123,-1.0
538,334,-0.5
361,62,-1.0
362,62,-0.5
680,604,-0.5
333,39,1.0
621,434,-1.0
455,165,-1.0
432,150,1.0
527,296,1.0
632,462,1.0
623,431,-0.5
380,78,1.0
651,523,1.0
577,351,-0.5
412,117,1.0
410,117,1.0
416,117,1.0
423,117,-1.0
411,117,1.0
417,117,1.0
420,117,-1.0
545,323,-0.5
709,706,-1.0
688,629,1.0
661,538,-1.0
415,132,-0.5
341,43,-0.5
461,204,1.0
462,204,1.0
463,204,1.0
634,463,1.0
25,1,1.0
683,618,1.0
383,88,-1.0
387,88,-1.0
393,88,1.0
325,36,-0.5
342,36,-0.5
346,36,-0.5
347,36,-0.5
326,36,-1.0
401,115,-1.0
511,264,-1.0
707,700,1.0
713,711,-0.5
712,711,1.0
630,449,1.0
92,6,1.0
86,6,1.0
85,6,-1.0
87,6,-1.0
88,6,1.0
89,6,1.0
90,6,1.0
93,6,1.0
94,6,-0.5
95,6,-1.0
96,6,-0.5
98,6,-0.5
99,6,1.0
100,6,1.0
102,6,1.0
103,6,1.0
104,6,1.0
97,6,1.0
101,6,1.0
91,6,1.0
27,2,1.0
26,2,1.0
28,2,-1.0
313,21,1.0
525,258,-1.0
649,513,1.0
470,210,1.0
664,587,1.0
656,539,1.0
422,139,-1.0
404,111,1.0
418,111,1.0
427,111,1.0
428,111,1.0
413,111,-1.0
405,111,-1.0
503,255,1.0
657,547,-1.0
368,48,1.0
624,432,-1.0
476,221,-0.5
643,496,1.0
611,419,1.0
582,389,1.0
330,37,1.0
655,550,1.0
381,86,1.0
395,86,1.0
398,86,1.0
384,86,1.0
372,63,-0.5
360,63,-0.5
601,414,1.0
612,414,1.0
520,297,1.0
505,267,1.0
517,267,1.0
521,267,1.0
645,508,1.0
646,508,1.0
648,508,1.0
618,430,1.0
700,678,1.0
240,15,-1.0
237,15,1.0
241,15,1.0
242,15,-0.5
238,15,1.0
239,15,-1.0
542,337,-1.0
396,92,1.0
390,92,-1.0
605,420,-1.0
609,420,-1.0
616,420,-1.0
613,423,1.0
550,341,-0.5
551,341,1.0
554,341,-0.5
534,319,1.0
31,3,-1.0
29,3,1.0
30,3,1.0
610,413,-1.0
607,413,1.0
600,413,-0.5
690,632,1.0
608,417,-1.0
308,19,1.0
309,19,-1.0
452,160,1.0
571,360,-1.0
497,250,-1.0
499,250,-1.0
500,250,-1.0
441,153,1.0
652,542,1.0
695,638,-1.0
336,41,-0.5
334,41,-1.0
351,41,-1.0
335,41,-1.0
450,161,1.0
436,161,1.0
439,161,1.0
440,161,1.0
449,161,1.0
443,161,1.0
454,161,1.0
458,161,-0.5
460,161,1.0
626,436,1.0
311,23,-1.0
424,108,-0.5
699,672,1.0
578,377,1.0
310,20,-1.0
633,461,1.0
210,12,1.0
211,12,1.0
671,595,-0.5
535,321,-1.0
660,536,-0.5
703,687,1.0
547,344,-1.0
359,61,-0.5
640,485,1.0
568,320,-0.5
541,335,-0.5
563,335,-1.0
689,630,-1.0
540,327,-0.5
574,362,-1.0
677,603,-1.0
566,345,-0.5
480,231,-1.0
495,249,-0.5
478,227,-0.5
636,465,-1.0
561,357,-0.5
350,51,1.0
493,246,1.0
494,246,1.0
544,343,-0.5
501,253,1.0
425,141,1.0
515,272,-0.5
117,8,-0.5
111,8,-1.0
110,8,-0.5
106,8,-1.0
125,8,-0.5
112,8,-0.5
114,8,1.0
119,8,-0.5
141,8,-1.0
108,8,1.0
109,8,1.0
116,8,-0.5
118,8,-1.0
120,8,-1.0
121,8,-0.5
122,8,-0.5
123,8,1.0
124,8,1.0
126,8,-0.5
127,8,1.0
128,8,-1.0
129,8,-0.5
131,8,-0.5
132,8,-1.0
133,8,-1.0
134,8,-1.0
135,8,-0.5
136,8,-0.5
137,8,1.0
