n1,n2,weight
85,25,1.0
48,10,1.0
165,146,1.0
166,146,1.0
167,146,1.0
92,32,1.0
93,32,1.0
151,113,-1.0
174,159,1.0
54,13,1.0
53,13,1.0
96,34,-0.5
122,64,1.0
41,7,1.0
43,7,1.0
40,7,1.0
42,7,1.0
81,22,-0.5
183,180,1.0
136,93,-1.0
87,27,1.0
91,31,-1.0
94,31,1.0
152,114,-0.5
142,101,-1.0
144,105,1.0
171,151,-0.5
123,67,-0.5
120,60,-1.0
125,74,-1.0
159,130,-0.5
33,4,1.0
34,4,-1.0
169,148,1.0
138,96,1.0
178,173,1.0
179,173,1.0
158,122,-0.5
62,16,1.0
63,16,-0.5
108,44,-1.0
101,38,-0.5
102,38,-0.5
119,58,-0.5
55,14,1.0
56,14,-1.0
57,14,-1.0
58,14,-1.0
59,14,1.0
20,0,1.0
21,0,1.0
23,0,1.0
22,0,1.0
135,91,-0.5
90,30,-0.5
170,149,-0.5
141,102,-1.0
164,144,1.0
172,152,1.0
121,62,-0.5
103,39,1.0
177,165,1.0
153,117,1.0
137,95,-1.0
107,43,1.0
25,1,-0.5
27,1,1.0
24,1,-1.0
26,1,-1.0
28,1,1.0
133,88,1.0
99,36,1.0
161,133,-0.5
39,6,1.0
38,6,1.0
29,2,-0.5
30,2,1.0
78,21,1.0
80,21,1.0
79,21,-1.0
148,111,-0.5
112,48,1.0
113,48,1.0
129,77,1.0
180,176,-1.0
114,50,-1.0
115,50,-1.0
61,15,1.0
60,15,1.0
132,84,1.0
32,3,1.0
31,3,1.0
181,177,-0.5
76,19,1.0
73,19,1.0
75,19,1.0
74,19,1.0
175,160,1.0
105,41,1.0
82,23,1.0
83,23,1.0
146,108,-0.5
77,20,1.0
52,12,1.0
168,147,-0.5
154,116,-1.0
155,116,-1.0
140,99,1.0
163,141,-1.0
44,8,1.0
117,54,1.0
131,80,-0.5
69,18,-0.5
70,18,-0.5
71,18,1.0
72,18,-1.0
147,110,-1.0
110,46,1.0
111,47,-1.0
84,24,-0.5
109,45,-0.5
49,11,1.0
51,11,1.0
50,11,1.0
36,5,1.0
35,5,1.0
37,5,-1.0
124,73,1.0
157,121,-1.0
176,166,-0.5
45,9,1.0
46,9,1.0
47,9,1.0
88,29,1.0
89,29,-1.0
86,26,-0.5
134,89,-0.5
126,76,1.0
127,76,1.0
128,76,1.0
145,107,1.0
162,136,-0.5
64,17,1.0
65,17,-1.0
66,17,-1.0
67,17,-1.0
68,17,1.0
173,154,1.0
160,131,-1.0
143,103,1.0
156,118,-0.5
104,40,1.0
95,33,-0.5
130,79,-1.0
116,53,-0.5
106,42,1.0
98,35,1.0
100,35,-1.0
97,35,-0.5
182,178,-0.5
139,97,-1.0
118,55,1.0
149,112,-1.0
150,112,1.0
