n1,n2,weight
31,10,-1.0
49,32,-0.5
48,32,-0.5
32,13,-1.0
28,7,-1.0
27,7,1.0
59,52,-0.5
19,4,1.0
36,16,1.0
38,16,-0.5
37,16,-0.5
56,38,-1.0
63,58,-1.0
33,14,-0.5
9,0,-0.5
47,30,1.0
64,62,-1.0
12,1,-1.0
10,1,-0.5
11,1,1.0
52,36,-1.0
53,36,-1.0
24,6,-1.0
21,6,1.0
22,6,-1.0
25,6,1.0
23,6,-1.0
26,6,-0.5
15,2,-1.0
14,2,-1.0
16,2,-1.0
13,2,1.0
57,48,-1.0
54,37,-1.0
55,37,-1.0
34,15,1.0
35,15,1.0
18,3,-1.0
17,3,1.0
41,19,-1.0
42,19,-0.5
65,61,-1.0
29,8,1.0
61,54,-1.0
43,24,1.0
20,5,-0.5
30,9,1.0
45,29,-0.5
46,29,-1.0
44,26,-1.0
66,65,-0.5
39,17,-1.0
40,17,-0.5
50,33,-1.0
60,53,-1.0
51,35,-0.5
62,55,-0.5
58,49,-1.0
