n,url,label,description
0,"el-objetivo-de-nuestra-especie-podria-ser-la-investigacion"," El objetivo de nuestra especie podría ser la investigación",""
1,"el-sentido-de-la-vida-es-42"," El sentido de la vida es 42",""
2,"el-sistema-democratico-representstivo-es-capaz-de-proveer-solucion-a-todos-los-desafios-existenciales-sociales"," El sistema democrático representativo es capaz de proveer solución a todos los desafíos existenciales sociales",""
3,"hay-vida-despues-de-la-muerte"," Hay vida después de la muerte",""
4,"la-accion-colectiva-esta-orientada-por-relaciones-sociales"," La acción colectiva esta orientada por relaciones sociales",""
5,"la-lectura-es-una-actividad-que-requiere-esfuerzo-y-concentracion"," La lectura es una actividad que requiere esfuerzo y concentración",""
6,"la-renta-basica-universal-incondicional-es-aplicable-en-espana"," La Renta Básica Universal Incondicional es aplicable en España",""
7,"la-tierra-es-plana"," La tierra es plana",""
8,"vivir-es-ir-perdiendo-terreno"," Vivir es ir perdiendo terreno.",""
9,"el-objetivo-de-nuestra-especie-podria-ser-la-investigacion?partial=28383&level=0","Como sociedad tendemos al avance tecnológico y científico, expandimos nuestras fronteras de investigación, sin embargo el propósito de este comportamiento, el cual existe en nuestra individualidad, es un tanto incierto.",""
10,"el-sentido-de-la-vida-es-42?partial=28375&level=0","42 puede ser malinterpretado.",""
11,"el-sentido-de-la-vida-es-42?partial=29436&level=0","Seis por siete es 42.",""
12,"el-sentido-de-la-vida-es-42?partial=29437&level=0","El número solo es de un libro de fantástica. No representa la realidad.",""
13,"el-sistema-democratico-representstivo-es-capaz-de-proveer-solucion-a-todos-los-desafios-existenciales-sociales?partial=33365&level=0","Ante los desafíos, el sistema aparentemente posee canales para que la población promueva una reacción que involucre al gobierno.",""
14,"el-sistema-democratico-representstivo-es-capaz-de-proveer-solucion-a-todos-los-desafios-existenciales-sociales?partial=33366&level=0","El efecto invernadero es conocido desde mediados de los 90 del siglo XX, y los gobiernos han fracasado en abordar medidas adecuadas para el cambio climático.",""
