n1,n2,weight
53,32,-1.0
45,13,-0.5
33,7,1.0
34,7,1.0
35,7,-1.0
36,7,-1.0
65,52,-1.0
54,31,-0.5
68,60,1.0
69,60,-0.5
23,4,1.0
24,4,-1.0
44,16,-0.5
60,44,-1.0
74,72,-0.5
66,59,-1.0
67,59,1.0
43,14,-0.5
11,0,1.0
12,0,-1.0
58,39,1.0
59,39,-1.0
13,1,1.0
14,1,-1.0
15,1,1.0
16,1,-1.0
29,6,-1.0
30,6,1.0
31,6,1.0
32,6,1.0
18,2,1.0
17,2,1.0
64,48,-0.5
57,37,-0.5
61,50,-1.0
19,3,1.0
20,3,1.0
21,3,-0.5
22,3,-1.0
47,19,-1.0
48,19,-1.0
51,23,1.0
49,20,-1.0
50,20,-1.0
42,12,-0.5
72,61,1.0
70,61,1.0
71,61,1.0
37,8,1.0
38,8,-1.0
63,47,-0.5
25,5,-0.5
26,5,-0.5
27,5,-0.5
28,5,-1.0
39,9,1.0
40,9,1.0
41,9,-0.5
52,29,-0.5
73,70,-1.0
46,17,-1.0
55,33,-0.5
56,33,1.0
62,49,-0.5
