n,url,label,description
0,"arguman-devrait-creer-un-espace-prive"," Arguman devrait créer un espace privé",""
1,"creer-une-liste-de-diffusion-en-plus-de-la-liste-de-discussion-pour-lorganisation-du-processus-constituant-inter-ville"," Créer une liste de diffusion en plus de la liste de discussion pour l'organisation du processus constituant inter-ville",""
2,"en-grammaire-le-masculin-doit-etre-renomme-neutre"," En grammaire, le «masculin» doit être renommé «neutre».",""
3,"il-faudrait-supprimer-les-cotisations-retraites-pour-les-jeunes-de-moins-de-30-ans"," Il faudrait supprimer les cotisations retraites pour les jeunes de moins de 30 ans.",""
4,"il-faut-interdire-la-pratique-du-lancer-de-nain"," Il faut interdire la pratique du « lancer de nain »",""
5,"il-nexiste-pas-doutils-numerique-permettant-de-creer-un-theme-problematique-question-de-permettre-a-tous-de-particper-et-de-mettre-en-avant-les-interventions-les-plus-pertinentes-puis-de-prendre-des-decisions-a-partir-de-toute-la-participation"," Il n'existe pas d'outils numérique permettant de créer un thème / problématique / question, de permettre à tous de particper et de mettre en avant les interventions les plus pertinentes puis de prendre des décisions à partir de toute la participation",""
6,"la-liste-de-discussion-pour-lorganisation-du-processus-constituant-inter-ville-doit-etre-publique"," La liste de discussion pour l'organisation du processus constituant inter-ville doit être publique",""
7,"lapero-de-rentree-existe"," l'apéro de rentrée existe",""
8,"le-cafe-est-bon-pour-la-sante"," Le café est bon pour la santé",""
9,"lenfer-est-pave-de-bonnes-intentions"," L'enfer est pavé de bonnes intentions",""
10,"les-relations-entre-les-hommes-sont-conflictuelles"," Les relations entre les hommes sont conflictuelles",""
11,"arguman-devrait-creer-un-espace-prive?partial=33363&level=0","cela permettra de faire des débats privés et/ou de se créer ses propres arbres d'argumentation afin d'améliorer notre esprit critique",""
12,"arguman-devrait-creer-un-espace-prive?partial=33526&level=0","Arguman est open source et peut-être téléchargé et installé librement sur un serveur web privé (liens dans la rubrique 'à propos' du site)",""
13,"creer-une-liste-de-diffusion-en-plus-de-la-liste-de-discussion-pour-lorganisation-du-processus-constituant-inter-ville?partial=20777&level=0","ça permet aux personnes qui veulent rester informées de ne pas se sentir spammées par les échanges sur la liste de discussion.",""
14,"creer-une-liste-de-diffusion-en-plus-de-la-liste-de-discussion-pour-lorganisation-du-processus-constituant-inter-ville?partial=20778&level=0","ça suppose un travail de synthèse des échanges sur la liste de discussion. Selon ce qui est mis comme info dans la liste de diffusion cela peut nécessiterplus ou moins de temps.",""
15,"creer-une-liste-de-diffusion-en-plus-de-la-liste-de-discussion-pour-lorganisation-du-processus-constituant-inter-ville?partial=20780&level=0","si quelques synapseurs font une synthèsedestinée à la liste de diffusion, ça évite à toutes les personnesintéressées par l'orga mais qui ne participent pas aux discussions d'avoir à lire tous les échanges sur la liste de discussion, donc énorme gain de temps collectif.",""
16,"creer-une-liste-de-diffusion-en-plus-de-la-liste-de-discussion-pour-lorganisation-du-processus-constituant-inter-ville?partial=20781&level=0","le travail de synthèse nécessaire pour alimenter la liste de diffusion est rébarbatif.",""
17,"en-grammaire-le-masculin-doit-etre-renomme-neutre?partial=27965&level=0","Cela retire le caractère sexiste inhérent au «masculin vs féminin», en définissant un genre neutre qui englobe tous les genres possibles et imaginables.",""
18,"en-grammaire-le-masculin-doit-etre-renomme-neutre?partial=27966&level=0","La règle «le masculin l'emporte sur le féminin» est remplacé par «dans l'indécision, utiliser le neutre».",""
19,"il-faudrait-supprimer-les-cotisations-retraites-pour-les-jeunes-de-moins-de-30-ans?partial=21877&level=0","Les jeunes contribuent à fonds perdus, ne profiteront pas de la même retraite que leurs aînés. Il y a une rupture d'égalité générationnelle.",""
