0	 Dieu existe-t-il ?
1	 Dieu existe-t-il ? (nouvelle version)
2	 Espaces ou tabulations ?
3	 Faut-il accueillir davantage de migrants ?
4	 Faut-il arrêter de manger des animaux ?
5	 Faut-il boycotter Facebook ?
6	 Faut-il dépénaliser le cannabis ?
7	 Faut-il généraliser le vote électronique ?
8	 Faut-il incinérer les déchets ménagers à La Réunion ?
9	 Faut-il instaurer un revenu de base ?
10	 Faut-il instaurer un salaire à vie ?
11	 Faut-il légaliser le cannabis ?
12	 Faut-il préférer les logiciels libres ?
13	 Faut-il préserver les Murs à pêches de Montreuil ?
14	 Faut-il privatiser ADP ?
15	 Faut-il réguler l'anonymat sur Internet ?
16	 Faut-il se faire vacciner ?
17	 Faut-il supprimer les frontières ? (nouveau)
18	 Faut-il supprimer les notes à l'école ?
19	 L'Europe occidentale est-elle en déclin ?
20	 L'extrême-gauche doit-elle lutter contre l'islamophobie ?
21	 La classe ouvrière est-elle la seule classe révolutionnaire ?
22	 La croyance en Dieu est-elle bénéfique ?
23	 La gauche doit-elle défendre le port du voile islamique ?
24	 La liberté d'expression doit-elle être limitée ?
25	 La liberté d'expression doit-elle être totale ?
26	 La méthode Céline Alvarez révolutionne-t-elle l'école maternelle ?
27	 La religion est-elle compatible avec le marxisme ?
28	 Lénine est-il le précurseur de Staline ?
29	 Le Front national est-il un parti fasciste ?
30	 Le logiciel libre est-il en déclin ?
31	 Le nationalisme est-il dangeureux ?
33	 Le nucléaire est-il une énergie d'avenir ?
34	 Le réchauffement climatique est-il dû à l'activité humaine ?
36	 Les footballeurs professionnels sont-ils trop payés ?
37	 Les hommes doivent-ils rejoindre le combat féministe ?
38	 Les religions se rejoignent-elles ?
39	 Peut-on changer le monde sans prendre le pouvoir ?
40	 Pour ou contre le capitalisme ?
41	 Pour ou contre le communisme ?
42	 Pour ou contre le projet de loi Collomb Asile et immigration ?
45	 Sommes-nous libres de nos décisions ?
46	 Une spiritualité rationnelle est-elle possible ?
47	 Wikipédia est-elle fiable ?
